name,category,meeting_time,location,member_count,description
Letters4U,"Community Service, Undergraduate Student Organization",TBD,TBD,5,"A Community Service, Undergraduate Student Organization organization at UC Merced."
M4K,"Dance, Art, Cultural, Social, Music",Tuesday 7pm,Glacier 160,34,"A Dance, Art, Cultural, Social, Music organization at UC Merced."
Machine Learning Club,"Undergraduate Student Organization, Special Interest, Graduate Student Organization, Social, Professional, Leadership, Academic",First Wednesday of Month,COB 105,37,"A Undergraduate Student Organization, Special Interest, Graduate Student Organization, Social, Professional, Leadership, Academic organization at UC Merced."
Margo F. Souza Student Leadership Center,"Leadership, Professional, UC Merced Department or Area",Monday-Friday | 9 AM to 5 PM,KL 172,4,"A Leadership, Professional, UC Merced Department or Area organization at UC Merced."
Mariachi los Bobcats,"Undergraduate Student Organization, Music, Leadership, Art, Cultural",tbd,tbd,8,"A Undergraduate Student Organization, Music, Leadership, Art, Cultural organization at UC Merced."
Materials Research Society,"Special Interest, Academic, Professional, Leadership",5:30 PM - Friday,ADMIN 253,26,"A Special Interest, Academic, Professional, Leadership organization at UC Merced."
Math Club at UC Merced,"Special Interest, Academic, Social",Friday | 5-6:30 PM,Granite Pass 170,58,"A Special Interest, Academic, Social organization at UC Merced."
Maza,"Dance, Cultural, Undergraduate Student Organization",n/a,n/a,10,"A Dance, Cultural, Undergraduate Student Organization organization at UC Merced."
Medical Innovation and Research Club,"Undergraduate Student Organization, Medical/Health, Professional, Leadership, Academic",TBD,TBD,5,"A Undergraduate Student Organization, Medical/Health, Professional, Leadership, Academic organization at UC Merced."
MEDLIFE,"Community Service, Social, Leadership, Undergraduate Student Organization, Wellness",TBA,TBA,76,"A Community Service, Social, Leadership, Undergraduate Student Organization, Wellness organization at UC Merced."
Merced Badminton Club,Recreation and Athletics,TBD,Joseph E. Gallo Gym,61,A Recreation and Athletics organization at UC Merced.
Merced Cybersecurity,Undergraduate Student Organization,TBD,TBD,23,A Undergraduate Student Organization organization at UC Merced.
Merced De Heere,"Social, Cultural, Art, Dance, Undergraduate Student Organization",8:00-10:00pm,Tenaya 145,6,"A Social, Cultural, Art, Dance, Undergraduate Student Organization organization at UC Merced."
Merced Indian Graduate Student Association,Cultural,TBD,TBD,20,A Cultural organization at UC Merced.
